name,subject,experience_years,rating,cost_per_hour,format,bio
Анна Смирнова,Математика,7,4.9,1800,онлайн,Специализация: ЕГЭ профиль. Средний балл учеников — 87
Дмитрий Козлов,Физика,5,4.7,1600,онлайн/офлайн,Готовлю к ЕГЭ и олимпиадам
Мария Иванова,Русский язык,10,4.8,1400,онлайн,100 баллов у 3 учеников за последние 2 года
Игорь Петров,Химия,13,4.9,3000,онлайн,Поступление в МГУ и Губку
Алексей Захаров,Биология,8,5.0,2500,онлайн,ЕГЭ и Олимпиады
Мария Литвинова,История,5,4.8,2900,онлайн/очно,"ЕГЭ на 100, Олимпиады"
Ольга Кудрявцева,География,6,4.9,3500,онлайн,Средний балл 90
Андрей Боков,Обществознание,3,4.8,2500,онлайн,"ЕГЭ, Олимпиады. Средний балл учеников 92"
Анна Варламова,Литература,24,4.9,3000,онлайн,7 стобальников за прошлые 4 года
Михаил Ветров,Информатика,5,4.9,3000,онлайн,"ЕГЭ, Олимпиады, проекты"
Анатолий Светлов,Английский язык,5,4.9,3000,онлайн,ЕГЭ средний балл 91
Инга Михайлова,Немецкий язык,5,4.9,3000,онлайн,Готовлю в МГУ и Вышку
Ольга Румянцева,Французский язык,5,4.9,3000,онлайн,Готовлю к ЕГЭ и олимпиадам
